id,timestamp,customer_id,channel,content,sentiment,pain_category
FB-0057,2025-10-28 18:58:51,C0138,Google評論,這已經是這個月第二次延遲了，到底什麼狀況 😢🔥,負,配送延遲
FB-0058,2025-10-28 23:58:21,C0006,Google評論,說好的隔日送 變成隔週送 真的很扯,負,配送延遲
FB-0059,2025-10-31 12:14:56,C0059,Google評論,請問可以改自取嗎？等不及了 💬🤔,中性,配送延遲
FB-0060,2025-10-31 21:58:08,C0060,LINE@,客付把我的問題完全沒看懂 答非所問,負,客服回應
FB-0061,2025-11-01 10:43:39,C0049,Email客服,這次絕對是最後一次 申訴 退費 永不再買 ⏰🔥😒,強烈負,配送延遲
FB-0062,2025-11-02 17:26:18,C0095,蝦皮評價,拆完之後紙箱可以拿去當收納 一物多用 💕💕,正,包裝環保
FB-0063,2025-11-10 04:18:29,C0093,Google評論,雖然延遲了一天送達，但司機很客氣有先打電話告知，給厚評！ 😄,正,配送延遲
FB-0064,2025-11-10 04:39:42,C0110,Email客服,基隆天氣又沒不好 為什麼說因為天候延誤,負,配送延遲
FB-0065,2025-11-10 12:47:01,C0116,LINE@,客服都是大陸用語 看不懂 「親您好」是什麼 ⚠️💢😤,負,客服回應
FB-0066,2025-11-12 04:33:02,C0089,Shopee聊聊,罐頭凹陷 我不敢吃 想退 ⚠️😒⏰,負,貨損
FB-0067,2025-11-13 00:22:00,C0045,客服電話,客戶等貨等到生氣 結果只回我一句「正在處理」 不負責任 💢😡,負,配送延遲
FB-0068,2025-11-13 01:59:43,C0094,Shopee聊聊,想反應 一個小瓶子用了 5 個保麗龍球 比例失衡 📦📷,中性,包裝環保
FB-0069,2025-11-13 22:11:38,C0032,LINE@,客服直接掛我電話 ‼️ 這什麼服務態度 😢‼️😡,強烈負,客服回應
FB-0070,2025-11-14 07:58:58,C0045,Email客服,建議回收袋可重複使用 設計再耐用一點,中性,包裝環保
FB-0071,2025-11-14 12:57:29,C0029,Google評論,電話客付一直叫我去官網填表 官網表單填了又叫我打電話 鬼打牆 😡😞💢,負,客服回應
FB-0072,2025-11-15 06:53:08,C0123,Shopee聊聊,紙箱破到看得見裡面 商品也丟了一個 是不是搬運偷東西 🤬⏰😡😩,強烈負,貨損
FB-0073,2025-11-15 09:44:36,C0040,Shopee聊聊,包裝改成可分解材料超棒 支持環保 🌱 👍😊❤️,正,包裝環保
FB-0074,2025-11-17 20:26:42,C0080,LINE@,高雄送來的包紮沒有過度  😊❤️ 簡潔厚拆 大讚,正,包裝環保
FB-0075,2025-11-18 02:48:21,C0031,Email客服,如果可以選擇「免緩衝包裝」會更友善,中性,包裝環保
FB-0076,2025-11-19 20:28:34,C0140,LINE@,外箱破了一個洞 商品還沒拆 想先反映,中性,貨損
FB-0077,2025-11-23 17:47:53,C0140,Google評論,想反映一下，常常會無預警延後一天送達,中性,配送延遲
FB-0078,2025-11-23 22:45:03,C0046,客服電話,想反映一下，常常會無預警延後一天送達,中性,配送延遲
FB-0079,2025-11-23 23:30:56,C0089,Google評論,拆開發現裡面零件少一個 而且外盒有撕裂,負,貨損
FB-0080,2025-11-24 07:03:38,C0024,Email客服,ORD-202509-03891 這張預計昨天到，現在物流狀態還停在轉運中 🚚,中性,配送延遲
FB-0081,2025-11-24 18:15:00,C0036,官網表單,這一斤是這個月第二次延遲了，到底什麼狀況 😩😩,負,配送延遲
FB-0082,2025-11-25 10:03:47,C0004,Email客服,客服直接掛我電話 ‼️ 這什麼服務態度 🚨💢💢💢,強烈負,客服回應
FB-0083,2025-11-28 23:33:21,C0064,客服電話,ORD-202601-06676相關案件 請幫我看一下進度 之前回信一半就沒下文,中性,客服回應
FB-0084,2025-11-30 05:15:08,C0105,Shopee聊聊,客服跟我說「依規定不能退」  😢😞😩 然後就掛電話,負,客服回應
FB-0085,2025-12-01 06:47:04,C0104,客服電話,我問三次同一個問題 三個客服三個答案 是不是沒培訓 ⏰😞😢,負,客服回應
FB-0086,2025-12-01 11:21:39,C0003,Shopee聊聊,雞蛋盒子有些壓痕 還沒打開檢查 📷❓,中性,貨損
FB-0087,2025-12-01 19:17:32,C0102,客服電話,陶瓷整組摔碎 包裝只有一層報紙 是來亂的嗎 😡😡😡😩,強烈負,貨損
FB-0088,2025-12-02 12:41:39,C0077,官網表單,改用紙膠帶之後拆箱很順暢 環保滿分 💕😄🙏,正,包裝環保
FB-0089,2025-12-02 13:28:46,C0106,LINE@,拿到時包裝慘不忍睹 商品還沒拆我就猜到壞了 😡,負,貨損
FB-0090,2025-12-02 13:46:23,C0090,蝦皮評價,已經第8次延遲了 真的會讓人想退訂閱,負,配送延遲
FB-0091,2025-12-03 07:08:19,C0139,Google評論,如果口以選擇「免緩衝包紮」會更友善,中性,包裝環保
FB-0092,2025-12-04 10:53:06,C0136,LINE@,彰化門市的客服跟總公司客服說的不一樣 到底聽誰 🔥😩,負,客服回應
FB-0093,2025-12-05 06:31:59,C0038,Google評論,請問你們有跟綠色和平合作嗎 看到包裝有提到 📦,中性,包裝環保
FB-0094,2025-12-05 07:23:00,C0122,Shopee聊聊,整箱都濕的還發霉 你們倉庫是漏水嗎 這怎麼吃 退！ ⚠️⚠️💢😞,強烈負,貨損
FB-0095,2025-12-05 18:44:35,C0055,Facebook粉絲頁,貼紙改成水溶膠 撕下來不會留殘膠 細節做很好 💚,正,包裝環保
FB-0096,2025-12-07 07:16:31,C0081,Facebook粉絲頁,拜託你們速度可以快一點嗎，等到天荒地老,負,配送延遲
FB-0097,2025-12-11 18:00:07,C0095,Email客服,我問三次同一個問題 三個客服三個答案 是不是沒培訓,負,客服回應
FB-0098,2025-12-11 22:36:55,C0051,客服電話,鞋子盒子變形 鞋子也被擠到變形,負,貨損
FB-0099,2025-12-12 06:21:33,C0138,Facebook粉絲頁,膠帶換成紙膠帶會更好 撕下回收方便,中性,包裝環保
FB-0100,2025-12-14 02:20:34,C0125,Shopee聊聊,稍微 delay 但司機彰化車況不熟還是準時來，辛苦了,正,配送延遲
FB-0101,2025-12-16 16:18:57,C0088,LINE@,請問可以選擇不要塑膠袋嗎 線上下單沒看到選項,中性,包裝環保
FB-0102,2025-12-16 23:57:26,C0003,官網表單,問題沒解決 案件就被結案 也沒人通知 莫名其妙 😞💢,負,客服回應
FB-0103,2025-12-18 22:52:17,C0109,蝦皮評價,希望能像國外那樣 自帶容器折扣,中性,包裝環保
FB-0104,2025-12-19 16:58:33,C0119,Shopee聊聊,希望能像國外那樣 自帶容器折扣,中性,包裝環保
FB-0105,2025-12-20 13:42:49,C0128,官網表單,為什麼預計到貨時間一直往後延 也不主動通知,負,配送延遲
FB-0106,2025-12-23 03:01:52,C0100,LINE@,客付說會回電  📦 但等了兩天還沒接到,中性,客服回應
FB-0107,2025-12-23 05:10:21,C0064,客服電話,陶瓷盤碎掉 包紮只有一層紙 太陽春,負,貨損
FB-0108,2025-12-24 11:17:59,C0029,Google評論,提案 加碼鼓勵客戶寄回紙箱 給點小回饋 📷📝,中性,包裝環保
FB-0109,2025-12-24 11:52:23,C0143,Email客服,三天前下單到現在物流狀態都沒更新，是當機嗎,負,配送延遲
FB-0110,2025-12-25 17:18:52,C0112,Google評論,外包裝太大 內容物在裡面晃來晃去 浪費紙箱,中性,包裝環保
FB-0111,2025-12-25 22:21:29,C0080,蝦皮評價,司機宜蘭說找不到地址就放著走，誰要負責 😒,負,配送延遲
FB-0112,2025-12-27 05:33:24,C0032,客服電話,急用的東西 結果晚了三天 到貨已經來不及用了,負,配送延遲
FB-0113,2025-12-27 13:42:47,C0023,LINE@,說好的隔日送  😤 變成隔週送 真的很扯,負,配送延遲
FB-0114,2025-12-28 18:51:44,C0082,Google評論,想確認ORD-202511-07297的進度，今天有人在家可以收 ❓🙋,中性,配送延遲
FB-0115,2025-12-28 19:19:47,C0142,LINE@,拿到時包裝慘不忍睹 商品還沒拆我就猜到壞了 💢😡,負,貨損
FB-0116,2025-12-28 20:41:31,C0019,Shopee聊聊,拜託你們速度可以快一點嗎，等到天荒地老 💢😩,負,配送延遲
FB-0117,2025-12-28 20:44:15,C0032,Shopee聊聊,外包裝太大 內容物在裡面晃來晃去 浪費紙箱,中性,包裝環保
FB-0118,2025-12-30 18:06:41,C0117,客服電話,包紮完全沒做防護 玻璃罐當然碎了 😞⏰,負,貨損
FB-0119,2025-12-31 11:50:53,C0030,Shopee聊聊,外箱印的環保標章我查了一下 想確認是真的有認證,中性,包裝環保
FB-0120,2025-12-31 19:39:55,C0060,客服電話,客服小姐很有耐心解決問題 讚 😄✨,正,客服回應
FB-0121,2026-01-03 05:55:54,C0096,Google評論,客服跟我講話帶情緒 我只是想知道貨到哪 💢😡,負,客服回應
FB-0122,2026-01-03 21:35:16,C0135,Facebook粉絲頁,我急著用的東西  ⚠️😤🤬 你們延了五天 害我多買一份 全額退費！,強烈負,配送延遲
FB-0123,2026-01-04 06:26:18,C0005,Email客服,請門可以改自取嗎？等不及了 📝,中性,配送延遲
FB-0124,2026-01-04 12:31:52,C0135,官網表單,ORD-202507-02258收到 紙盒角邊有撞凹 內容應該沒事 💬,中性,貨損
FB-0125,2026-01-05 07:31:45,C0070,Google評論,預計7/7  ⏰⏰😡 到或拖到現在 服務這麼差以後不會再買了,負,配送延遲
FB-0126,2026-01-05 09:44:58,C0111,Shopee聊聊,包材瘦身有感  ❤️ 紙箱大小剛好不浪費,正,包裝環保
FB-0127,2026-01-05 14:56:14,C0034,Google評論,客戶等貨等到生氣 結果只回我一句「正在處理」 不負責任 ⏰😤,負,配送延遲
FB-0128,2026-01-06 05:29:50,C0018,客服電話,電子產品外殼裂開 全新買的怎麼變這樣 拒收要退錢‼️ 😡😤⚠️⚠️⚠️,強烈負,貨損
FB-0129,2026-01-06 09:48:58,C0134,Facebook粉絲頁,ORD-202602-00781 申訴到現在沒人理 我要申訴消保會 😩🔥🚨,強烈負,客服回應
FB-0130,2026-01-06 19:30:22,C0108,蝦皮評價,等了4天還沒到貨，是把東西弄丟了嗎 😢😩,負,配送延遲
FB-0131,2026-01-07 07:59:26,C0024,蝦皮評價,ORD-202602-06828 收到全部商品都翻倒 紙箱也是側躺到 怎么想都是搬運出問題,負,貨損
FB-0132,2026-01-08 05:32:47,C0019,LINE@,司機剛才打電話說今天宜蘭雨大送不到，改明天,中性,配送延遲
FB-0133,2026-01-08 06:24:10,C0103,Google評論,玻璃罐全部碎光  ⏰💢💢⚠️⚠️⏰ 裡面流出來污染其他商品 全部推,強烈負,貨損
FB-0134,2026-01-08 10:17:36,C0143,Shopee聊聊,這已經是第二次破損了 包裝是不是該加強,負,貨損
FB-0135,2026-01-09 01:02:42,C0015,客服電話,包紮完全沒做防護 玻璃罐當然碎了,負,貨損
FB-0136,2026-01-09 07:18:19,C0116,Google評論,我急著用得東西 你們延了五天 害我多買一份 全額推費！ 🔥😞⏰,強烈負,配送延遲
FB-0137,2026-01-09 09:55:05,C0128,官網表單,送來時包裝有點潮濕 但商品本身ok,中性,貨損
FB-0138,2026-01-09 15:25:24,C0147,LINE@,你們官網寫24小時到貨 我等了五天 騙人的吧 😢,負,配送延遲
FB-0139,2026-01-10 19:39:11,C0055,客服電話,這次絕對是最後一次 申訴 退費 永不在買 🔥⏰‼️😤,強烈負,配送延遲
FB-0140,2026-01-10 21:46:28,C0108,客服電話,想反映一下，常常會無預警延後一天送達,中性,配送延遲
FB-0141,2026-01-10 22:33:37,C0002,官網表單,想問email客服回覆要多久  📞 一斤三天了,中性,客服回應
FB-0142,2026-01-11 01:49:48,C0100,Facebook粉絲頁,包材瘦身有感 紙箱大小剛厚不浪費 ✨,正,包裝環保
FB-0143,2026-01-11 05:07:58,C0063,Google評論,三次了 每次都遲到 是把客戶當塑膠 投訴消保官 🚨😡😤⏰,強烈負,配送延遲
FB-0144,2026-01-11 07:37:17,C0030,蝦皮評價,想問email客服回覆要多久 已經三天了 📞,中性,客服回應
FB-0145,2026-01-11 09:35:17,C0102,官網表單,看到你們把塑膠袋換成紙袋了 為環保加分 🌱😄,正,包裝環保
FB-0146,2026-01-12 17:16:19,C0068,Facebook粉絲頁,等了6天還沒到貨，是把東西弄丟了嗎,負,配送延遲
FB-0147,2026-01-13 00:50:17,C0086,蝦皮評價,請問你們客服的上班時間是？打了三次都沒人接 🙋,中性,客服回應
FB-0148,2026-01-15 10:15:12,C0015,官網表單,我問推貨進度  ⏰😡😒 客服說「還在處理」 已經一個月了,負,客服回應
FB-0149,2026-01-17 07:18:47,C0126,Email客服,請問你們客服的上班時間是？打了三次都沒人接 🚚📦,中性,客服回應
FB-0150,2026-01-17 08:36:40,C0051,LINE@,已下單8天，物流追蹤一直顯示「燈待取件」，是不是漏單,中性,配送延遲
FB-0151,2026-01-18 13:58:30,C0081,Email客服,貼紙改成水溶膠 撕下來不會留殘膠 細節做很好 🎉,正,包裝環保
FB-0152,2026-01-18 16:26:14,C0090,Email客服,等了一個禮拜 受到的時候我都忘了買什麼了 ⚠️,負,配送延遲
FB-0153,2026-01-19 04:55:28,C0056,Shopee聊聊,ORD-202602-04927受到 紙盒角邊有撞凹 內容應該沒事 🙋🙋,中性,貨損
FB-0154,2026-01-19 05:12:49,C0032,Google評論,司機剛才打電話說今天雲林雨大送不到，改明天,中性,配送延遲
FB-0155,2026-01-21 09:06:18,C0149,Email客服,全程聊天機器人  🔥 沒有真人 真的氣人,負,客服回應
FB-0156,2026-01-21 10:04:09,C0105,Google評論,整箱東西都是濕的 紙箱破爛變形 ‼️ 這樣還收得了嗎 😡😡😡⚠️⚠️,強烈負,貨損
FB-0157,2026-01-23 13:02:50,C0006,LINE@,FB留言被刪 客訴信箱已讀不回 是要逼客戶上新聞嗎 😒😤,強烈負,客服回應
FB-0158,2026-01-23 15:07:55,C0010,Facebook粉絲頁,為什麼預計到或時間一直往後延  😡⚠️😢 也不主動通知,負,配送延遲
FB-0159,2026-01-25 00:19:16,C0139,Google評論,雖然問題還沒完全解決 但客服態度真的很棒 給好評 👍👍💕,正,客服回應
FB-0160,2026-01-25 08:02:53,C0078,Google評論,急用的東西 結果晚了三天 到貨已經來不及用了 😢,負,配送延遲
FB-0161,2026-01-26 07:54:55,C0022,LINE@,包紮盒上的標示太多看不懂 口以做圖示嗎,中性,包裝環保
FB-0162,2026-01-26 08:17:59,C0093,蝦皮評價,客服都是大陸用語 看不懂 「親您好」是什麼 😩😢,負,客服回應
FB-0163,2026-01-27 23:04:05,C0144,官網表單,想反映大量塑膠袋的問題 雖然不影響使用,中性,包裝環保
FB-0164,2026-01-28 01:43:27,C0129,Facebook粉絲頁,三個馬克杯破兩個 你們是用丟的嗎,負,貨損
FB-0165,2026-01-30 10:38:17,C0028,客服電話,ORD-202511-01772  🤔 收到 包裝是雙層紙箱 想問有必要嗎,中性,包裝環保
FB-0166,2026-01-31 11:28:08,C0007,官網表單,問題拖了兩個月 客服每次都換人 然後沒人記得 ‼️ ⏰‼️,強烈負,客服回應
FB-0167,2026-01-31 18:54:57,C0005,Shopee聊聊,等了一個禮拜 收到的時候我都忘了買什麼了 😤😩,負,配送延遲
FB-0168,2026-02-01 01:00:02,C0092,Shopee聊聊,已經第八天了！！你們到底把貨弄到哪 真的很扯 😡😡😡😡😢,強烈負,配送延遲
FB-0169,2026-02-01 17:42:38,C0113,Facebook粉絲頁,改用紙膠帶支後拆箱很順暢 環保滿分 🎉❤️✨,正,包裝環保
FB-0170,2026-02-03 06:07:57,C0033,LINE@,燈了9天還沒到或，是把東西弄丟了嗎,負,配送延遲
FB-0171,2026-02-03 08:59:59,C0003,官網表單,改用紙膠帶之後拆箱很順暢 環保滿分 🙏🎉💚,正,包裝環保
FB-0172,2026-02-03 14:12:36,C0047,Google評論,ORD-202601-01793  🔥🤬 整箱毀損 而且裡面有刺鼻液體 我家小孩差點碰到 妳們要負責！,強烈負,貨損
FB-0173,2026-02-04 04:20:59,C0055,LINE@,拿到時包裝慘不忍睹 商品還沒拆我就猜到壞了,負,貨損
FB-0174,2026-02-06 08:08:27,C0024,Email客服,玻璃罐全部碎光 裡面流出來污染其他商品 全部退 💢⚠️⚠️,強烈負,貨損
FB-0175,2026-02-07 03:24:19,C0036,Google評論,完全沒誠意 延誤又不通知 客服還太度差 申訴到底 😤💢💢‼️🔥,強烈負,配送延遲
FB-0176,2026-02-07 04:32:09,C0025,Shopee聊聊,保鮮盒蓋裂開 內容物全部漏出來 整箱都濕得 😢😢😡,負,貨損
FB-0177,2026-02-07 05:04:39,C0092,Facebook粉絲頁,鞋子盒子變形 鞋子也被擠到變形,負,貨損
FB-0178,2026-02-07 10:33:58,C0050,客服電話,說會準時送，結果讓我請假在家等一整天 白等,負,配送延遲
FB-0179,2026-02-11 03:06:18,C0116,Facebook粉絲頁,陶瓷整組摔碎 包裝只有一層報紙 是來亂的嗎 🤬⚠️,強烈負,貨損
FB-0180,2026-02-11 13:18:52,C0038,蝦皮評價,你們系統是壞了嗎 物流追蹤永遠卡在出貨中 ⏰😤😞,負,配送延遲
FB-0181,2026-02-13 05:21:23,C0123,Facebook粉絲頁,拆完之後紙箱口以拿去當收納 一物多用 😊,正,包裝環保
FB-0182,2026-02-13 12:27:32,C0147,客服電話,問題拖了兩個月 客服每次都換人 然後沒人記得 ‼️ 😒⏰😡💢💢,強烈負,客服回應
FB-0183,2026-02-13 14:51:10,C0028,官網表單,想問一下單號ORD-202511-09202什麼時候會到？官網顯示已經兩天了 📷,中性,配送延遲
FB-0184,2026-02-13 17:48:35,C0029,Shopee聊聊,貨已經出貨10天為什麼還沒到？ 📝🤔,中性,配送延遲
FB-0185,2026-02-14 01:17:49,C0082,蝦皮評價,希望能像國外那樣 自帶容器折扣,中性,包裝環保
FB-0186,2026-02-15 15:25:43,C0011,客服電話,化妝品瓶身破裂  💢 整盒都是液體,負,貨損
FB-0187,2026-02-16 02:09:41,C0108,Email客服,等了一整個禮拜  😞💢💢 每次打去都明天明天明天 退錢！,強烈負,配送延遲
FB-0188,2026-02-16 07:30:49,C0002,Google評論,想知道你們的包材碳足跡 公司有公開嗎 💬,中性,包裝環保
FB-0189,2026-02-16 13:05:53,C0149,Google評論,ORD-202602-06160  😩 從上禮拜到現再還沒到，每次客付都說明天明天,負,配送延遲
FB-0190,2026-02-17 02:29:25,C0149,Shopee聊聊,客付都是大陸用語  😞 看不懂 「親您厚」是什麼,負,客服回應
FB-0191,2026-02-17 03:06:07,C0148,蝦皮評價,急用的東西  🔥 結果晚了三天 到貨已經來不及用了,負,配送延遲
FB-0192,2026-02-17 14:21:44,C0060,官網表單,外箱印的環保標章我查了一下 想確認是真的有認證,中性,包裝環保
FB-0193,2026-02-18 06:31:06,C0149,Shopee聊聊,你們官網寫24小時到貨 我等了五天 騙人的吧 ⚠️😒😒,負,配送延遲
FB-0194,2026-02-20 19:16:45,C0048,蝦皮評價,看到包紮印著ESG 有把永續放在心上 ❤️✨,正,包裝環保
FB-0195,2026-02-21 07:32:04,C0136,蝦皮評價,高雄地區是不是常常比較慢？已經第三次了,中性,配送延遲
FB-0196,2026-02-21 15:32:36,C0012,蝦皮評價,司機台南說找不到地址就放著走，誰要負責 😤😒,負,配送延遲
FB-0197,2026-02-22 13:20:01,C0038,官網表單,ORD-202509-05795 受到全部商品都翻倒 紙箱也是側躺到 怎麼想都是搬運出問題 😩,負,貨損
FB-0198,2026-02-23 02:40:11,C0047,Email客服,拿到時包裝慘不忍睹  😞⚠️ 商品還沒拆我就猜到壞了,負,貨損
FB-0199,2026-02-25 19:56:42,C0073,Email客服,已經第八天了！！你們到底把貨弄到哪 真的很扯 😢😡,強烈負,配送延遲
FB-0200,2026-02-25 22:28:15,C0091,Google評論,說好兩日達結果都第3天了，急著用真的很煩 😩😒,負,配送延遲
